Company,Chief Executive Officer,Chief Financial Officer,Chief Operating Officer,President,Director of Acquisitions,Head of Corporate Development,Director of Asset Management,Head of Investor Relations,Chairman of the Board,VP/Head of Exploration,Chief Geologist
Metinvest B.V.,Yuriy Ryzhenkov,Yuliya Dankova,Alexander Pogozhev,,,,,,Igor Syry,,
Metminco Limited,William James Howe,Philip Walter Killen,,,,,,,Phillip John Wing,,
Metorex (Proprietary) Limited,,,Nicholas Leslie Vere James,,,,,,Dexin Chen,,
Metro Mining Limited,Simon Finnis,Scott Waddell,,,,,,,Stephen Craig Everett,,
Metron Capital Corp.,Gurminder Sangha,Jurgen Wolf,,Gurminder Sangha,,,,,,,
Metropolitan Energy Corp.,Jordan Shapiro,,,Jordan Shapiro,,,,,,,
Mexican Gold Corp.,Brian E. Robertson,Gavin Nelson,,Brian E. Robertson,,,,,Ali Zamani,,
Mexivada Mining Corp.,Richard R. Redfern,Christopher P. Cherry,,Richard R. Redfern,,,,,,,
Mezzotin Minerals Inc.,Paul Ekon,Lawrence Schreiner,,Paul Ekon,,,,,,,
MGT Mining Limited,,,,,,,,,,,
MGX Minerals Inc.,Jared Lazerson,Michael Reimann,,Jared Lazerson,,,,,Marc Edward Bruner Jr.,Andris Kikauka,
Mhakari Gold Corp.,,,,,,,,,,,
MHM Metals Limited,,,,,,,,,Faldi Ismail,,
Michelago Ltd,,,,,,,,,,,
Micrex Development Corporation,Stanley E. Marshall,Maximillian Morpurgo,,Stanley E. Marshall,,,,,,,
Midas Gold Corporation,Stephen Paul Quin,Darren Morgans,Robert Barnes,Stephen Paul Quin,,,,,Peter B. Nixon,Christopher Dail,
Midasco Capital Corp.,,Ryan E. Cheung,,,,,,,,,
Middle East Diamond Resources Limited,James Gordon Allan,,,,,,,,Sheikh Abdulla Khalfan Humaid Nasser,,
Middle Island Resources Limited,Richard James Yeates,,,,,,,,Peter Sisley Thomas,,
Midex Gold Corp.,Morgan Magella,Morgan Magella,,Philip J. Wheelton,,,,,,,
Midland Exploration Inc.,Gino Roger,Ingrid Martin,,Gino Roger,,,,,Jean-Pierre Janson,Mario Masson,
Midnight Sun Mining Corp.,Robert A. Sibthorpe,Wayne Moorhouse,,Robert A. Sibthorpe,,,,,,,
MIDROC Gold Mine Pvt. Ltd. Co.,,,,,,,,,,,
Midway Gold Corp.,William M. Zisch,,,William M. Zisch,,,,,,,
Midway Gold Corp.,,,,,,,,,,,
Migme Limited,Steven Goh,,,,,,,,,,
MillenMin Ventures Inc.,Shunyi Yao,Yunkai Cai,,Yunkai Cai,,,,,Shunyi Yao,,
Millennial Lithium Corp.,Farhad Abasov,Graham L. Harris,Iain Scarr,Kyle Stevenson,,,,,Graham L. Harris,Iain Scarr,
Millennium Minerals Limited,Peter Cash,Richard Hill,Dean Will,,,,,,Gregory John Bittar,Andrew Dunn,
Millrock Resources Inc.,Gregory A. Beischer,Keith Granberry,Philip St. George,Gregory A. Beischer,,,,,,Philip St. George,
Millstream Mines Limited,Ernest W. Harrison,Robert J. Chase,Stephen G. Mlot,Robert J. Chase,,,,,Ernest W. Harrison,,
Milner Consolidated Silver Mines Ltd.,Deborah J. Bazinet,Brenda A. Bazinet,,Deborah J. Bazinet,,,,,Deborah J. Bazinet,,
Minara Resources Ltd.,,,Wayne Ashworth,,,Jason Cooke,,,,,
Minatura Gold,Paul R. Dias,,,Paul R. Dias,,,,,,,
Minaurum Gold Inc.,Darrell A. Rader,Cale J. Moodie,,Darrell A. Rader,,,,,Michael J. Williams,Stephen R. Maynard,David M. Jones
Minbos Resources Limited,Lindsay George Reed,David R. Sadgrove,,,,,,,Peter Christopher Wall,Lindsay George Reed,Rebecca Morgan
Minco Gold Corporation,Ken Z. Cai,"Chun Tsang, Larry Tsang",,Ken Z. Cai,,,,,Ken Z. Cai,,
Minco Plc,John F. Kearney,Danesh K. Varma,,,,,,,John F. Kearney,,Peter Tyler
Minco Silver Corporation,Ken Z. Cai,Chun Tsang,,Ken Z. Cai,,,,,Ken Z. Cai,,
Mincom Capital Inc.,Gary Economo,Judith T. Mazvihwa-MacLean,,Gary Economo,,,,,Jeffrey York,,
Mincor Resources NL,Peter Muccilli,Chen Sun,,,,,,,David James Humann,Robert Hartley,
Mindax Limited,,Dennis William Wilkins,,,,,,,Benjamin Chow,,
Mindesta Inc.,,,,,,,,,,,
Mindex ASA,,,,,,,,,,,
Mindoro Resources Limited,Mary Anne B. Antazo,Jeannette V. Gutierrez,Edsel Abrasaldo,,,,,,Federico C. Zarate Jr.,,
Minefinders Corporation Ltd.,,,,,,,,,Robert L. Leclerc,,
Minegem Inc.,,,,,,,,,David Jones,,
"Mineira de Corcoesto, S.L.",,,,,,,,,,,
Minera Alamos Inc.,Darren Koningen,Janet O’Donnell,,Darren Koningen,,,,,,Miguel Cardona,Miguel Cardona
Minera Andes Inc.,,,,,,,,,,,
Minera Aurifera Retamas SA (Marsano Family),,,,,,,,,,,
Minera Exar S.A.,,,,,,,,,,,
"Minera Frisco, S.A.B. de C.V.",Alejandro Aboumrad González,José Corona Sánchez,,,,,,,Carlos Slim Helú,,
Minera Fuego Limitada,,,,,,,,,,,
Minera Gold Limited,,,,,,,,,,,
Minera IRL Limited,Diego F. H. P. C. Benavides Norlander,Carlos Ruiz de Castilla,,,,,,,Gerardo Perez Delgado,,
"Minera Rio Tinto, S.A. de C.V.",,,,,,,,,,,
Minera San Geronimo,,,,,,,,,,,
Minera Suyamarca S.A.C.,,,,,,,,,,,
Minera Yanacocha S.R.L.,,,,,,,,,,,
Mineral Commodities Limited,Mark Victor Caruso,Anthony David Sheard,Logan Francis,,,,,,Mark Victor Caruso,,
Mineral Commodities Limited,,,,,,,,,,,
Mineral Deposits Limited,Robert William Sennitt,Greg Bell,Jozsef Patarica,,,Kevin Joseph Ross,,,Nicholas James Limb,,
Mineral Hill Industries Limited,Dieter W. Peter,Andrew H. Von Kursell,,Dieter W. Peter,,,,,,,
Mineral Mountain Mining and Milling Co,,,,Earl T. Siler,,,,,,,
Mineral Mountain Resources Limited,Nelson W. Baker,Maribel Jordan,,Nelson W. Baker,,Bradley W. Baker,,,T. Barry Coughlan,Robert Brozdowski,Curt E. Hogge
Mineral Resources Limited,Christopher James Ellison,Bruce A. Goulds,Danny McCarthy,,,,,,Peter Wade,,
Minerales Cala SA,,,,,,,,,,,
Minerals and Metals Group (Minmetals Resourc (DUP),,,,,,,,,,,
Mineria Activa Uno SPA,,,,,,,,,,,
Mineros S.A.,,,,Andrés Restrepo Isaza,,,,,,,
Minerva Resources plc,,,,,,,,,,,
"Mines Management, Inc.",,,,Luther J. Russell,,,,,,,
Mineworx Technologies Ltd.,Greg Pendura,Don Weatherbee,Greg Pendura,Greg Pendura,,,,,,,Fernando De La Fuente Chacon
MinEx Projects (Pty) Limited,,,,,,,,,,,
Minfocus Exploration Corp.,Gerald Harper,Gavin Cooper,,Gerald Harper,,,,,,Gerald Harper,Gerald Harper
Mink International Resources Corp.,,,,,,,,,,,
Minmetals Capital Company Limited,? ??,? ?,,,,,,,,,
Minnova Corp.,Gorden Glenn,Christopher O. Irwin,,Gorden Glenn,,,,,Gorden Glenn,Gorden Glenn,
Minorca Resources Ltd.,,,,,,,,,,,
Minorco,,,,,,,,,,,
Minotaur Exploration Limited,Andrew Woskett,,,,,,,,Roger John Higgins,Glen Little,Richard B. Flint
Minotaur Resources Ltd,,,,,,,,,,,
MinQuest Limited,Philip Daffas,Ian Hobson,,,,,,,John Murray,,
Minrex Resources NL,,,,,,,,,Simon Francis Durack,,
Minsud Resources Corp.,Carlos A. Massa,Paul F. Andersen,,Carlos A. Massa,,,,,Alberto F. Orcoyen,Howard J. Coates,
Minsur S.A.,Juan Luis Kruger Sayan,Gianflavio Carozzi Keller,Luis Augusto Arguelles Macedo,,,,,,Fortunato Brescia Moreyra,Miroslav Kalinaj,Jesús Ylazaca Valdivia
Mintails Limited,"Bukhosi Ndimande, Johan Moolman",Edward Milne,,,,,,,Johan Moolman,,
Minterra Resource Corp.,,L. Rowland Wallenius,,,,,,,,,
Mirabela Nickel Limited,,Milson Mundim,,,,,,,,,
Miramar Mining Corp,,,,Guy Lansdown,,,,,,,
Miramonte Mining AG,,,,,,,,,,,
Miranda Gold Corporation,Joseph P. Hebert,Len Goldsmith,,Joseph P. Hebert,,,,,Kenneth D. Cunningham,,
Miranda Mineral Holdings Limited,"John Nicholas Wallington, Theodoros Botoulas",Adriaan Moolman Botha,,,,Jan Lombard,,,Lelau Mohuba,,
Miranda Mining Corp,,,,,,,,,,,
Mirandor Exploration Inc.,,,,,,,,,,,
Mirasol Resources Ltd.,Stephen C. Nano,Mahesh Liyanage,,Stephen C. Nano,,,,,Dana H. Prince,Damien Coerber,
Mispec Resources Inc.,,,,,,,,,,,
Mission Gold Ltd.,J. David Lowell,Steven K. Krause,,David E. De Witt,,,,,J. David Lowell,,
Mistango River Resources Inc.,Robert J. Kasner Sr.,Johnny Oliveira,,Robert J. Kasner Sr.,,,,,Robert J. Kasner Sr.,,
MIT Ventures Corp.,,,,,,,,,,,
Mithril Resources Limited,David James Hutton,,,,,,,,Graham Leslie Ascough,,Jim McKinnon-Matthews
Mitsubishi Corporation,Takehiko Kakiuchi,Kazuyuki Masu,,Takehiko Kakiuchi,,,,,Ken Kobayashi,,
Mitsubishi Materials Corporation,Akira Takeuchi,,,Akira Takeuchi,,,,,Hiroshi Yao,,
"Mitsui & Co., Ltd.",Tatsuo Yasunaga,Keigo Matsubara,,Tatsuo Yasunaga,,,,,Masami Iijima,,
"Mitsui Matsushima Co., Ltd.",,,,Tsuneo Amano,,,,,Shinichiro Kushima,,
"Mitsui Mining & Smelting Co., Ltd.",Keiji Nishida,Takashi Oshima,Keiji Nishida,Keiji Nishida,,,,,,,
MK Resources Co (Leucadia National),,John C. Farmer,,,,,,,,,
MK2 Ventures Ltd.,David M. Patterson,Gavin Cooper,,,,,,,,,
Mkango Resources Limited,William Dawes,Sandra Evans,,Alexander Mark Lemon,,,,,Derek Linfield,,
MKY Resources Ltd,,,,,,,,,,,
ML Gold Corporation,Andrew W. Bowering,Martin Burian,,Adrian Allister Smith,,,,,Andrew W. Bowering,,
Mmakau Mining (Pty.) Ltd.,,Jacques Pierre de Wet,,,,,,,Bridgette Radebe,,
MMG Limited,Jian Jiao,Ross Carroll,Marcelo Hubmeyer De Almeida Bastos,,,,,,Wenqing Guo,,
MMX Mineração e Metálicos S.A.,Ricardo Furquim Werneck Guimarães,Ricardo Furquim Werneck Guimarães,,,,,,,Pedro de Moraes Borba,,
MOAG Copper Gold Resources Inc.,Peter B. Cooper,Theodore Bullmore,,,,,,,,,
Mobecom Limited,,Anne Adaley,,,,,,,Warwick John Andrew,,
MOD Resources Limited,Julian P. Hanna,Sarel Stefanus Weber,,,,,,,Mark Clements,Paul Angus,Paul Angus
Modun Resources Limited,Karl Redenbach,"Daniel Rohr, Matthew Brown",,,,,,,Michael Hastings Hill,,Enkhbayar Batmunkh
Mogul Resources Ltd.,Harjinder Kehal,,,,,,,,Sundeep Laxmilal Bhandari,,
MOIL Limited,Mukund P. Chaudhari,Nitin P. Kajarekar,,,,,,,Mukund P. Chaudhari,,
Moimstone Corporation,Elizabeth Park,David Pais,,Elizabeth Park,,,,,,,
Molopo Australia Ltd.,Alexandre Gabovich,Andrew William Metcalfe,,,,,,,,,
Moly Mines Limited,Graeme Kininmonth,Riccardo Vittino,,,,,,,Nelson Feng Chen,,
"Molycorp, Inc.",Geoffrey R. Bedford,Michael F. Doolan,Kevin D. Morris,Geoffrey R. Bedford,,,,,Constantine E. Karayannopoulos,,
"Monarchy Ventures, Inc.",Timothy J. Ferguson,Timothy J. Ferguson,,Timothy J. Ferguson,,,,,,,
Monarques Gold Corporation,Jean-Marc Lacoste,Alain Levesque,,Jean-Marc Lacoste,,Adam Buchanan,,,Michel F. Bouchard,,Donald Trudel
Monax Mining Limited,Gary Michael Ferris,,,,,,,,Robert Michael Kennedy,,
Moneta Porcupine Mines Inc.,Gary O'Connor,Richard A. Boulay,,Ian C. Peres,,,,,,,Gary O'Connor
Mongolia Energy Corporation Limited,Yvette Ong,,,,,,,,Lin Shing Lo,,
Mongolian Mining Corporation,Battsengel Gotov,Ulemj Baskhuu,Baasandorj Tsogoo,Oyunbat Lkhagvatsend,,,,,Odjargal Jambaljamts,Gary Ballantine,Gary Ballantine
Monnet Ispat & Energy Limited,Sandeep Kumar Jajodia,Sanjay Garodia,,,,,,,Sandeep Kumar Jajodia,,
Monster Copper Corporation,Michael J. Downes,,,Michael J. Downes,,,,,,,
Monster Uranium Corp.,Kenneth Richard Ralfs,J. Eugene Sekora,,Kenneth Richard Ralfs,,,,,,,
Montan Mining Corp.,Ian Graham,Anthony Balic,,,,Fatih Akarsu,,,Luis F. Zapata,,
Monteray Mining Group Limited,Michael Edwards,,,,,,,,,,
Montero Mining and Exploration Limited,Antony Harwood,Antonia J. Chapman,,Antony Harwood,,,,,,,
Monterrico Metals Plc,,,,,,,,,Fang Yang Yi,,
Montezuma Mining Company Limited,Justin Colin Brown,,,,,,,,Seamus Ian Cornelius,Dave O’Neill,
Monto Minerals Limited,James Peter Allchurch,,,,,,,,Gary Steinepreis,,
Monument Mining Limited,Robert F. Baldock,Cathy Zhai,,Robert F. Baldock,,,,,Robert F. Baldock,,Roger L. Stangler
Moreton Resources Limited,Alexander Jason Elks,Ewan Stoddart,,,,,,,Alexander Jason Elks,,Louis Schurmann
Morgain Minerals Inc,,,,,,,,,,,
Morgan Resources Corp.,Raniero Corsini,,,,,,,,Richard P. Rogers,,
Morien Resources Corporation,John P. A. Budreski,Michael O'Keefe,,John P. A. Budreski,,Dawson Brisco,,,Peter C. Akerley,,
Morning Star Gold NL,Michael David Botting,Nicholas Mark Garling,,,,,,,Nicholas Mark Garling,,
Morro Bay Resources Ltd.,John C. Zang,Denny Chow,H. Andrew Daniels,John C. Zang,,,,,John C. Zang,,
Mosaic Company,James C. O’Rourke,Richard L. Mack,,James C. O’Rourke,,,,,Robert L. Lumpkins,,
Motapa Diamonds Inc (Lucara Diamond),,,,,,,,,,,
Moto Goldmines Limited,,,,,,,,,Samuel Esson Jonah,,
Mount Adrah Gold Limited,,,,,,,,,Andrew White,,
Mount Burgess Mining N.L.,Nigel Raymond Forrester,Serene Chau,,,,,,,Nigel Raymond Forrester,,
Mount Gibson Iron Limited,Jim Beyer,Peter Kerr,Scott de Kruijff,,,,,,Seng Hui Lee,,
Mount Magnet South Limited,Matthew Weston,,,,,,,,Alec Christopher Pismiris,,Marcus Hope
Mount Ridley Mines Limited,Ashley Hood,Johnathon Busing,,,,,,,Michael Pedley,,
Mount Rommel Mining Limited,Frederick Lampard Hunt,,,,,,,,Frederick Lampard Hunt,,
Mountain Boy Minerals Limited,Edward R. Kruchkowski,Randolph Michael Kasum,,Edward R. Kruchkowski,,,,,Rene Bernard,,
Mountain Lake Minerals Inc.,Paul K. Smith,,,Paul K. Smith,,,,,William Fleming,,
Mountain Province Diamonds Inc.,David E. Whittle,Perry Y. Ing,,David E. Whittle,,,,,Jonathan Christopher James Comerford,,
Mountainstar Gold Inc.,,,,,,,,,,,
Moydow Mines International Inc,,,,,,,,,,,
MPI Mines Ltd (Lionore Mining),,,,,,,,,,,
MRG Metals Limited,,,,,,,,,Andrew Van Der Zwan,Ben McCormack,Keith Stuart Weston
MSM Corporation International Limited,,,,,,,,,,,
MSV Resources Inc.  (Campbell Resources),,,,,,,,,,,
Mukuba Resources Limited,Daniel Crandall,Daniel Crandall,,,,,,,,,
Mulgravian Ventures Corp.,,,,,,,,,,,
Mundoro Capital Inc.,Teodora Dechev,Anil Jiwani,,Teodora Dechev,,,,,John J. Hoey,Georgi Magaranov,
Munsun Capital Group Limited,Xianghong Li,Hao Shi,,,,,,,Xianghong Li,,
Murchison Metals Ltd.,,,,,,,,,,,
Murchison Minerals Ltd.,Kent Pearson,Erik H. Martin,,Kent Pearson,,,,,Jean-Charles Potvin,,
Murgor Resources Inc.,André C. Tessier,Isabelle Gauthier,,André C. Tessier,,,,,Charles Jay Hodgson,Randall Salo,
Muriel Mining Corp.,,,,,,,,,,,
Murray Brook Minerals Inc.,,,,,,,,,,,
Musgrave Minerals Limited,Robert Waugh,,,,,,,,Graham Leslie Ascough,,Glenn Martin
Musgrove Minerals Corp.,Rana Vig,Chun Tsang,,Rana Vig,,,,,,,
Mustang Minerals Corporation,Robin E. Dunbar,Rodger Roden,,Robin E. Dunbar,,,,,,,
Mustang Resources Limited,Christiaan Jordaan,Robert Marusco,Jacobus van Wyk,,,,,,Ian C. Daymond,,
"MV Portfolios, Inc.",William D. Meadow,Shea E. Ralph,,William D. Meadow,,,,,William D. Meadow,,
Mvelaphanda Resources Proprietary Limited,,,,,,,,,Polelo Lazarus Zim,,
Mwembeshi Resources Limited,,,,,,,,,,,
MX Gold Corp.,Dan Omeniuk,Kenneth C. Phillippe,Hugh Charles McPherson,Hugh Charles McPherson,,,,,Dan Omeniuk,,Lorne McLeod Warner
MXRT Holdings Ltd.,,,,,,,,,Fred George,,
My Casino Ltd.,Adam H. Boyd,,,,,Colin Richard Stonehouse,,,Simon Higgins,,
Mylin Resources Group,,,,,,,,,,,
Myriad Interactive Media Inc.,Derek Ivany,Derek Ivany,,Derek Ivany,,Hercules Galang,,,,,
MYTILINEOS Holdings S.A.,Evangelos George Mytilineos,Ioannis Kalafatas,,,,,,,Evangelos George Mytilineos,,
MZI Resources Limited,Martin David Purvis,John W. Westdorp,Kevin Watters,,,,,,Rodney Charles Baxter,Stephen Harrison,Stephen Harrison
Nafta Moskva,,,,,,,,,"Alexander Ilyich Mosionzhik, Allen Vine",,
Nagambie Resources Limited,James C. Earle,Kevin John Perrin,,,,,,,Michael Ward Trumbull,Geoff R. Turner,
Namakwa Diamonds Limited,Mitford Mundell,Craig Ian Campbell,Andries Janzen,,,,,,Melissa Josephine Sturgess,,
"Namex Explorations, Inc.",George H. Gale,Grayme Anthony,,George H. Gale,,,,,Arild Stockinger,,
Namibia Rare Earths Inc.,Donald M. Burton,Darrin Campbell,,Donald M. Burton,,,,,Gerald J. McConnell,,
Namibian Copper Limited,,Jay Richard Stephenson,,,,,,,Neil Fredrick Warburton,,
Nan Nan Resources Enterprise Limited,Man Fai Kwan,,,,,,,,Man Fai Kwan,,
"Nanjing Iron & Steel Co., Ltd.",? ??,? ??,,,,,,,? ??,,
Nano One Materials Corp.,"Dan Blondal, Paul F. Matysek",Tammy Gillis,,"John E. Lando, Paul F. Matysek",,,,,Paul F. Matysek,,
Napier Ventures Inc.,Donald T. Scoretz,Michael P. Raftery,,Donald T. Scoretz,,,,,,,
Naracoota Resources Limited,,,,,,,,,,,
Nass Valley Gateway Ltd.,Dieter W. Peter,,,Dieter W. Peter,,,,,Dieter W. Peter,,
Natasa Mining Limited,Chrisilios Kyriakou,Jonathan R. Reynolds,,,,,,,Chrisilios Kyriakou,,
National Aluminium Company Limited,Tapan Kumar Chand,K. C. Samal,,,,,,,Tapan Kumar Chand,,
National Atomic Company Kazatomprom JSC,,,,,,,,,,,
National Gold Corp.,,,,,,,,,,,
National Graphite Corporation,Ulrike Dickmann,Ulrike Dickmann,,Ulrike Dickmann,,,,,,,
National Iranian Copper Industries,,,,,,,,,Fereidoon Ahmadi,,
National Mineral Development Corporation Limited,R. Sridharan,Devinder Singh Ahluwalia,,,,Atul Bhatt,,,R. Sridharan,Narendra Kumar Nanda,Narendra Kumar Nanda
Natural Intelligence Ltd.,,,,,,,,,,,
Nautilus Minerals Inc.,Michael David Johnston,Glenn Withers,,Michael David Johnston,,,,,Russell Debney,John Parianos,
Nava Bharat Ventures Limited,P. Trivikrama Prasad,T. Hari Babu,,,,,,,Devineni Ashok,,
Navan Mining Plc,,,,,,,,,,,
Navarre Minerals Limited,Geoffrey John McDermott,Geoffrey John McDermott,,,,,,,Kevin John Wilson,Shane Mele,Sarah Heard
Navasota Resources Inc.,Michael Lerner,Marie Cupello,,,,,,,,,
Navigator Exploration Corp,,,,,,,,,,,
Navigator Resources Limited,Glen William Dobbie,,,,,,,,Gregory James Ruddock,,
Navis Resources Corp.,Michael Burns,Anthony Jackson,,Michael Burns,,,,,Anthony Jackson,,
Navoi Mining & Metallurgical Combinat State Company,,,,,,,,,,,
Navy Resources Corp.,Robert Meister,Martin Bajic,,Robert Meister,,,,,,,
Naxos Resources Ltd.,,,,,,,,,,,
Nayarit Gold Inc.,,,,,,,,,,,
Ncondezi Energy Limited,,,,,,,,,Michael John Haworth,Hanno Pengilly,
Nebex Resources Ltd.,,,,,,,,,,,
Nebu Resources Inc.,Paul Crath,Mark Mungo,,,,,,,,,
Nelson Resources Limited,,,,,,,,,Peter Gerard Cook,,
Nelson Resources Ltd.,Erdinc Nick Zana,,,,,,,,Erdinc Nick Zana,,
Nemaska Lithium Inc.,Guy Bourassa,Steve Nadeau,François Godin,Guy Bourassa,,,,,Michel Baril,,
Nemex Resources Limited,Hui Zhang,Paul M. Jurman,Hui Zhang,,,,,,Hui Zhang,,
Neo Lithium Corporation,Waldo Perez,Carlos Vicens,,Waldo Perez,,,,,Constantine E. Karayannopoulos,,
Neo Resources Ltd.,,,,,,,,,,,
Neometals Limited,Christopher John Reed,Jason Carone,Michael Tamlin,,,,,,Steven Cole,,
Neon Energy Ltd.,,,,,,Alan Sherrard,,,Alan Stein,,
Neptune Minerals Inc.,,Josh Adam,John Turner,,,,,,,,
Netco Energy Inc.,Paul Andreola,Scott Andrew MacEachern,,Paul Andreola,,,,,,,
NetMind Financial Holdings Limited,Rui Hui,Ming Tung Lee,,,,Nai Ting Chung,,,Tao Chiu,,
Netseers Internet International Corp,,,,,,,,,,,
Network Exploration Ltd.,Alexander Helmel,Darren C. Urquhart,,Alexander Helmel,,,,,,,
"Nevada Clean Magnesium, Inc.",Edward Lee,Stephen Thorlakson,James C. Sever,James C. Sever,,,,,Edward Lee,,
Nevada Copper Corporation,Giulio T. Bonifacio,Robert T. McKnight,,Giulio T. Bonifacio,,,,,Evgenij Iorich,Gregory French,
Nevada Energy Metals Inc.,Richard D. Wilson,Robert Guanzon,Timothy C. Fernback,Richard D. Wilson,,,,,Richard D. Wilson,,
Nevada Exploration Inc.,Wade A. Hodges,Cyrus H. Driver,Kenneth N. Tullar,James Buskard,,,,,Dennis L. Higgs,,
Nevada Iron Limited,,Michael Higginson,,,,,,,,,
Nevada Manhattan Mining Inc.,,,,,,Pete Manias,,,,,
Nevada Pacific Gold Ltd.,,,,,,,,,,,
Nevada Sunrise Gold Corporation,Warren W. Stanyer,Brent Petterson,,Warren W. Stanyer,,,,,Michael D. Sweatman,,
Nevada Zinc Corporation,R. Bruce Durham,Donald H. Christie,,R. Bruce Durham,,,,,Duane Parnham,,
Nevado Resources Corporation,Sylvain Laberge,Marcel Bergeron,,Sylvain Laberge,,,,,,,
Nevgold Resource Corp.,,,,,,,,,,,
Nevoro Inc.,,,,,,,,,,,
Nevsun Resources Limited,Peter Gerald Jan Kukielski,Thomas S. Whelan,Frazer W. Bourchier,Peter Gerald Jan Kukielski,,,,,Ian W. Pearce,Peter M. Manojlovic,
New Age Exploration Limited,Gary Fietz,,,,,Jon Reynolds,,,Alan John Broome,Gary Fietz,
New Age Metals Inc.,Harry Gordan Barr,Robert Guanzon,Trevor Richardson,Trevor Richardson,,,,,Harry Gordan Barr,,
New Carolin Gold Corporation,Robert L. Thast,Donald Barry Lee,Kenneth Richard Holmes,Robert L. Thast,,,,,,,
New Dawn Mining Corp.,Ian Robert Saunders,,,Ian Robert Saunders,,,,,,,
New Destiny Mining Corporation,Robert Laird Birmingham,Zenaida Manalo,,Robert Laird Birmingham,,,,,,,
New Dimension Resources Ltd.,Frederic G. Hewett,Wayne Johnstone,,Frederic G. Hewett,,,,,,,
New Era Minerals Inc.,Tian Xiang Sun,Wei Shen,,,,,,,Guang Ju Lin,,
New Gold Bayfield Corp.,James G. Pettit,Donald C. Huston,,Donald C. Huston,,,,,James G. Pettit,Robert D. Marvin,Shane Hu
New Gold Inc.,Hannes Portmann,Brian Penny,Raymond W. Threlkeld,Hannes Portmann,,,,,Ian W. Pearce,Mark A. Petersen,
New Guinea Gold Corporation,Greg Heaney,Ben Graham,,Greg Heaney,,,,,Ces Edward Iewago,,
New Hampton Goldfields Limited,,,,,,,,,,,
New Hope Corporation Limited,Shane O. Stephan,Matthew J. Busch,Andrew L. Boyd,,,,,,Robert Dobson Millner,Ben Armitage,
New Horizon Coal Limited,,,,,,,,,Anthony Thomas Brennan,,
New Horizon Uranium Corp.,,,,,,,,,,,
New Island Resources Inc.,Harold L. Wareham,Lisa D. Hodge,,Harold L. Wareham,,,,,D. Samuel Walters,,
New Jersey Mining Company,John A. Swallow,Delbert W. Steiner,,John A. Swallow,,,,,Delbert W. Steiner,,
New Klondike Exploration Ltd.,,,,,,,,,,,
New Millennium Iron Corporation,Ernest Dempsey,Mark Freedman,,,,,,,,,
New Millennium Resources NL,,,,,,,,,David Albert Lloyd Johnston,,
New Nadina Explorations Limited,Ellen Clements,Arlene Ashton,,Ellen Clements,,,,,,,
New Oroperu Resources Inc.,K. Wayne Livingstone,Aris Morfopoulos,,K. Wayne Livingstone,,,,,,,
New Oroperu Resources Inc.,,,,,,,,,,,
New Pacific Holdings Corp.,Rui Feng,Jalen Yuan,,Hongen Ma,,,,,Jacob Austin,Alex Zhang,
New Sage Energy Corp.,,Michael Ivan,,,,,,,Albert John Carlesso,,
New Talisman Gold Mines Limited,Matthew Geoffrey Hill,,,,,,,,Charbel Nader,,
New World Gold Corporation,Robert Talbot,,,Robert Talbot,,,,,,,
New World Resource Corp.,John E. Lando,Tammy Gillis,Brian McEwen,John E. Lando,,,,,,Brian McEwen,Brian McEwen
New World Resources Plc,Dale R. Ekmark,Boudewijn Wentink,,,,Peter Carr,,,Boudewijn Wentink,,
NewCastle Gold Ltd.,Gerald S. Panneton,Paul J. Ireland,Marc Leduc,Gerald S. Panneton,,,,,Richard W. Warke,Sergio Cattalani,
Newcrest Mining Limited,Sandeep Biswas,Gerard Bond,,,,,,,Peter Algernon Franc Hay,Fraser MacCorquodale,
Newcrest Mining Limited,,,,,,,,,,,
Newfield Resources Limited,Anthony Ho,Anthony Ho,,Anthony Ho,,,,,,,Renato Spaggiari
Newfoundland Goldbar Resources Inc.,Harold L. Wareham,Lisa D. Hodge,,Harold L. Wareham,,,,,Harold L. Wareham,,
Newhawk Gold Mines Ltd. (Silver Standard),,,,,,,,,,,
Newmac Resources Inc.,Han Xin Wu,Valent Chan,,Han Xin Wu,,,,,Han Xin Wu,David Bridge,David Bridge
Newmarket Gold Inc.,Douglas B. Forster,Robert Dufour,Rodney D. Lamond,Douglas B. Forster,,,,,Raymond W. Threlkeld,Mark Edwards,
NewMarket Gold Inc.,Douglas B. Forster,Robert Dufour,Darren Hall,Douglas B. Forster,,,,,"Eric Steven Sprott, Raymond W. Threlkeld","John Landmark, Mark Edwards",
Newmex Mining Co. Ltd.,,,,,,,,,,,
Newmont Mining Corporation,Gary J. Goldberg,Nancy K. Buese,Thomas R. Palmer,Gary J. Goldberg,,,,,Noreen Doyle,Grigore Simon,
Newport Exploration Limited,Ian Terry Rozier,Barbara Eileen Dunfield,,Ian Terry Rozier,,,,,,,
Newrange Gold Corp,Robert G. Carrington,David Allen Cross,,Robert G. Carrington,,,,,,,
Newstrike Capital Inc.,Richard O'C. Whittall,Salvador Miranda,,Richard O'C. Whittall,,,,Patrick Piette,,Gillian Kearvell,
